state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_trips_000,tourism_growth_pct,spending_per_visitor_rm,trips_per_visitor,tourism_intensity,tourism_value_growth_pct,local_prosperity_context,income_mean,income_median,expenditure_mean,gini,poverty,google_search_interest,search_interest_growth_pct,digital_interest_trend,emerging_viral_destination,opportunity_pattern,pressure_pattern,average_length_of_stay,population_000,avg_receipts_per_trip_rm,tourism_receipts_rm,domestic_visitors
Perlis,2020,1193.108,224.066307262435,1246.963,-42.8416331502629,187.800523726633,1.045138411610684,4.187813267813268,-61.2881537325271,not_available,,,,,,44.25,-22.931785195936136,strongly_decreasing,not_flagged,monitor,no_pressure_signal,2.4461569279846,284.9,179.689619709996,224066307.262435,1193108.0
Perlis,2021,406.796,78.0132972300273,426.818,-65.9045115781639,191.774986061877,1.0492187730459492,1.4144506258692626,-65.182941521567,not_available,,,,,,34.5,-22.033898305084744,strongly_decreasing,not_flagged,monitor,no_pressure_signal,2.20914101234874,287.6,182.778836014478,78013297.2300273,406796.0
Perlis,2022,1669.175,455.618787502378,1799.569,310.322372884689,272.960466998594,1.0781188311591057,5.759748102139406,484.027087278411,moderate_context,5664.0,4713.0,3834.0,0.336,4.0,70.25,103.6231884057971,strongly_increasing,potential_emerging_digital_destination,positive_momentum,no_pressure_signal,2.34666728507533,289.8,253.182171676873,455618787.502378,1669175.0
Perlis,2023,1950.771,583.870113407444,2139.229,16.87037009301,299.302231480499,1.0966069313107485,6.655649948822926,28.1488229684551,not_available,,,,,,66.66666666666667,-5.100830367734275,decreasing,not_flagged,monitor,no_pressure_signal,2.20641466269676,293.1,272.934834656525,583870113.407444,1950771.0
Perlis,2024,3225.428,1002.81372997629,3660.074,65.3411907394564,310.908732105101,1.1347560695820835,10.867345013477088,71.75287909907,not_available,,,,,,59.91666666666666,-10.12500000000001,decreasing,not_flagged,monitor,high_intensity_monitor,2.48663839005127,296.8,273.987282764308,1002813729.97629,3225428.0
Perlis,2025,3755.682,1211.20382670128,4335.24011103116,16.4398027176548,322.499036580115,1.1543150115028804,12.64539393939394,20.7805388474205,not_available,,,,,,57.75,-3.616133518776074,stable,not_flagged,monitor,high_intensity_monitor,2.24678266562286,297.0,279.38563855306,1211203826.70128,3755682.0
Pulau Pinang,2019,15410.6252310139,6653.65601165969,21073.6211358388,6.6443003758152,431.757693923359,1.3674734684630518,8.71247468962794,7.93374298981246,not_available,,,,,,63.833333333333336,-17.099567099567096,strongly_decreasing,not_flagged,monitor,no_pressure_signal,2.50454943741912,1768.8,315.733872634929,6653656011.65969,15410625.231013902
Pulau Pinang,2020,8929.515,2427.15888222993,9231.124,-42.0561147510788,271.813069604556,1.033776638484845,5.1307256952424725,-63.5214252438563,not_available,,,,,,66.0,3.3942558746736253,stable,not_flagged,monitor,no_pressure_signal,2.03409916330196,1740.4,262.932106884268,2427158882.22993,8929515.0
Pulau Pinang,2021,5060.864,1158.8101313766,5160.445,-43.3243126866353,228.974762288929,1.019676679713187,2.908542528735632,-52.2565193461108,not_available,,,,,,62.66666666666666,-5.050505050505054,decreasing,not_flagged,monitor,no_pressure_signal,2.14043579846788,1740.0,224.556241056071,1158810131.3766,5060864.0
Pulau Pinang,2022,10002.735,3648.39930839687,11705.595,97.6487611601498,364.740174401988,1.170239439513293,5.745726348440462,214.840128646682,moderate_context,8990.5,6980.5,5946.5,0.3685,1.0499999999999998,79.16666666666667,26.329787234042566,strongly_increasing,potential_emerging_digital_destination,positive_momentum,no_pressure_signal,2.59063956089525,1740.9,311.679953765432,3648399308.3968697,10002735.0
