state,year,tourism_receipts_rm_million,tourism_receipts_rm,tourism_receipts_growth_pct,domestic_visitors_000,domestic_visitors,domestic_visitors_growth_pct,tourism_trips_000,tourism_trips_growth_pct,avg_receipts_per_visitor_rm,avg_receipts_per_trip_rm,average_length_of_stay,population_000,tourism_intensity_visitors_per_resident
Terengganu,2021,984.111528570248,984111528.570248,-56.3491247256915,3719.052,3719052.0,-49.8761747228234,4128.968,-59.0558517614004,264.613543604727,238.343220041969,2.19970922273613,1170.7,3.176776287691125
Terengganu,2022,3363.29891312298,3363298913.12298,241.75993426368,10233.282,10233282.0,175.158346804508,12791.324,209.794699305008,328.662780242251,262.93594886057,2.68542326435746,1186.6,8.624036743637284
Terengganu,2023,4192.31725641659,4192317256.4165897,24.6489641482335,11760.516,11760516.0,14.9241856131787,13868.81,8.42356897534609,356.473921417784,302.283848175625,2.59412179953652,1210.0,9.719434710743801
Terengganu,2024,5170.36305105575,5170363051.05575,23.3294794935236,14460.728,14460728.0,22.9599789669093,16499.305,18.9669841897034,357.545142336939,313.368535890194,2.49733881394776,1231.5,11.742369468128299
Terengganu,2025,5795.14407298498,5795144072.98498,12.0838907395808,15462.278,15462278.0,6.92599985284283,18201.3174474076,10.3156614621501,374.792386541296,318.391462031798,2.75842209863769,1245.8,12.411525124418045
W.P. Kuala Lumpur,2019,12141.0,12141000000.0,18.63,22633.0,22633000.0,18.09,28991.0,17.46,536.0,419.0,2.39,1782.5,12.697335203366059
W.P. Kuala Lumpur,2020,5273.0,5273000000.0,-56.57,12435.0,12435000.0,-45.06,13223.0,-54.39,424.0,399.0,1.83,1982.1,6.273649159981837
W.P. Kuala Lumpur,2021,3084.0,3084000000.0,-41.52,9116.0,9116000.0,-26.69,10824.0,-18.15,338.0,285.0,2.18,1964.0,4.641547861507128
W.P. Kuala Lumpur,2022,7733.0,7733000000.0,150.78,16913.0,16913000.0,85.53,19878.0,83.65,457.0,389.0,3.09,1961.2,8.623801754028145
W.P. Kuala Lumpur,2023,10995.0,10995000000.0,42.19,22233.0,22233000.0,31.46,24012.0,20.8,495.0,458.0,2.7,2005.7,11.084908012165329
W.P. Kuala Lumpur,2024,14078.0,14078000000.0,28.03,26983.0,26983000.0,21.37,30640.0,27.6,522.0,459.0,2.23,2067.5,13.051027811366385
W.P. Kuala Lumpur,2025,16906.0,16906000000.0,20.09,35060.0,35060000.0,29.93,36169.0,18.05,482.0,467.0,2.33,2075.2,16.894757131842717
W.P. Labuan,2019,392.0,392000000.0,0.23,524.0,524000.0,-3.87,774.0,6.78,748.0,506.0,3.05,99.3,5.276938569989929
