state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_growth_pct,tourism_value_growth_pct,tourism_intensity,google_search_interest,search_interest_growth_pct
Terengganu,2022,10233.282,3363.29891312298,175.158346804508,241.75993426368,8.624036743637284,68.0,14.125874125874121
Terengganu,2023,11760.516,4192.31725641659,14.9241856131787,24.6489641482335,9.7194347107438,63.583333333333336,-6.495098039215683
Terengganu,2024,14460.728,5170.36305105575,22.9599789669093,23.3294794935236,11.7423694681283,51.083333333333336,-19.65923984272608
Terengganu,2025,15462.278,5795.14407298498,6.92599985284283,12.0838907395808,12.411525124418043,47.166666666666664,-7.6672104404567785
W.P. Kuala Lumpur,2019,22633.0,12141.0,18.09,18.63,12.69733520336606,92.33333333333333,
W.P. Kuala Lumpur,2020,12435.0,5273.0,-45.06,-56.57,6.273649159981837,38.166666666666664,-58.664259927797836
W.P. Kuala Lumpur,2021,9116.0,3084.0,-26.69,-41.52,4.641547861507128,27.833333333333332,-27.07423580786026
W.P. Kuala Lumpur,2022,16913.0,7733.0,85.53,150.78,8.623801754028145,58.916666666666664,111.67664670658684
W.P. Kuala Lumpur,2023,22233.0,10995.0,31.46,42.19,11.084908012165329,72.08333333333333,22.347949080622346
W.P. Kuala Lumpur,2024,26983.0,14078.0,21.37,28.03,13.051027811366383,80.16666666666667,11.213872832369956
W.P. Kuala Lumpur,2025,35060.0,16906.0,29.93,20.09,16.894757131842717,82.66666666666667,3.1185031185031185
W.P. Labuan,2019,524.0,392.0,-3.87,0.23,5.276938569989929,59.75,
W.P. Labuan,2020,108.0,60.0,-79.47,-84.58,1.135646687697161,34.583333333333336,-42.119944211994415
W.P. Labuan,2021,54.0,29.0,-49.88,-51.43,0.5625,28.333333333333332,-18.072289156626514
W.P. Labuan,2022,244.0,136.0,352.13,364.27,2.518059855521156,52.833333333333336,86.47058823529413
W.P. Labuan,2023,331.0,194.0,35.97,42.39,3.3434343434343434,56.666666666666664,7.2555205047318525
W.P. Labuan,2024,450.0,265.0,35.69,36.33,4.464285714285714,74.08333333333333,30.735294117647054
W.P. Labuan,2025,604.0,379.0,34.41,43.36,5.986124876114965,80.25,8.323959505061875
W.P. Putrajaya,2019,1949.0,849.0,3.01,-15.81,18.79459980713597,53.833333333333336,
W.P. Putrajaya,2020,451.0,142.0,-76.85,-83.28,4.13003663003663,31.75,-41.021671826625386
W.P. Putrajaya,2021,223.0,68.0,-50.57,-52.18,1.9357638888888888,34.75,9.448818897637794
W.P. Putrajaya,2022,1306.0,456.0,485.55,572.01,11.162393162393162,68.83333333333333,98.08153477218224
W.P. Putrajaya,2023,1900.0,670.0,45.53,46.87,15.993265993265991,78.5,14.043583535108967
W.P. Putrajaya,2024,2557.0,937.0,34.54,39.9,21.255195344970907,77.75,-0.9554140127388535
W.P. Putrajaya,2025,3146.0,1236.0,23.06,31.9,26.06462303231152,68.25,-12.218649517684888
